Kikomun,IPA,Glosa,Globasa,Lidepla,Note
a,a,a,a,a,
b,b,b,b,b,
ch,t̠ʃ,c,c,ch,
d,d,d,d,d,
e,e,e,e,e,
f,f,f,f,f,
g,g,g,g,g,
h,h,h,h,h,Or /x/ (preferred pronunciation in Globasa and Lidepla)
i,i,i,i,i,
j,d̠ʒ,,j,j,
k,k,k,k,k,Preferably aspirated in Globasa.
l,l,l,l,l,
m,m,m,m,m,
n,n,n,n,n,
ng,ŋ,,,ng,"Optional sound, may be pronounced /n/; /ŋg/ or /ng/ before vowels, ‘l’, and ‘r’."
o,o,o,o,o,
p,p,p,p,p,Preferably aspirated in Globasa.
r,ɾ,r,r,r,Lidepla allows any kind of rhotic.
s,s,s,s,s,
sh,ʃ,sc,x,sh,
t,t,t,t,t,Preferably aspirated in Globasa.
u,u,u,u,u,
v,v,v,v,v,"Optional sound, may be pronounced /w/."
w,w,w,w,w,Written ‘u’ between a consonant and a vowel.
y,j,j,y,y,Written ‘i’ between a consonant and a vowel; pronounced as unstressed /i/ in Lidepla.
z,z,z,z,z,"Optional sound, may be pronounced /s/; the preferred pronunciation in Lidepla is actually /dz/."
,ks,x,,x,Lidepla recommends /gs/ between vowels.
,kw,q,,,
