Language,ISO 639,Family,Branch,Speakers (million),Script
English,en,Indo-European,Germanic,1515,Latin
Mandarin Chinese,cmn,Sino-Tibetan,Sinitic,1140,Chinese characters
Hindi/Urdu,hi/ur,Indo-European,Indo-Aryan,847,Devanagari
Spanish,es,Indo-European,Romance,560,Latin
Arabic,ar,Afro-Asiatic,Semitic,489,Arabic
French,fr,Indo-European,Romance,312,Latin
Bengali,bn,Indo-European,Indo-Aryan,278,Bengali–Assamese
Russian,ru,Indo-European,Balto-Slavic,255,Cyrillic
Indonesian/Malay,id/ms,Austronesian,Malayo-Polynesian,199,Latin
German,de,Indo-European,Germanic,134,Latin
Japanese,ja,Japonic,–,123,Kanji/Kana
Nigerian Pidgin,pcm,English Creole,–,121,Latin
Telugu,te,Dravidian,–,96,Telugu
Turkish,tr,Turkic,–,90,Latin
Hausa,ha,Afro-Asiatic,Chadic,88,Latin
Swahili,sw,Niger–Congo,–,87,Latin
Tamil,ta,Dravidian,–,87,Tamil
Yue Chinese,yue,Sino-Tibetan,Sinitic,87,Chinese characters
Vietnamese,vi,Austroasiatic,–,86,Latin
Tagalog,tl,Austronesian,Malayo-Polynesian,83,Latin
Korean,ko,Koreanic,–,81,Hangul
Persian,fa,Indo-European,Iranian,78,Perso-Arabic
Thai,th,Kra–Dai,–,61,Thai
Amharic,am,Afro-Asiatic,Semitic,60,Geʽez
